Simplified,Pinyin,Definition,HSK
出色,chūsè,remarkable; outstanding; excellent,5
出示,chūshì,to show,5
出席,chūxí,attend; be present; participate,5
初级,chūjí,junior; primary,5
除非,chúfēi,only if; unless,5
除夕,chúxī,Lunar New Year's Eve,5
处理,chǔlǐ,deal with; to process; sell at a discount; to treat (by a special process),5
传播,chuánbō,propagate; to spread,5
传染,chuánrǎn,infect; be contagious,5
传说,chuánshuō,it is said; legend; pass on (a story),5
传统,chuántǒng,tradition; traditional,5
窗帘,chuānglián,window curtain,5
闯,chuǎng,rush; break through; to temper oneself (by battling difficulties),5
创造,chuàngzào,create; bring about; creativity,5
吹,chuī,to blow; to blast; to puff,5
词汇,cíhuì,vocabulary,5
辞职,cízhí,resign from a position,5
此外,cǐwài,besides; in addition; moreover,5
次要,cìyào,secondary; less important,5
刺激,cìjī,exciting; provoke; irritate,5
匆忙,cōngmáng,hasty; hurried,5
从此,cóngcǐ,from now on; since then,5
从而,cóng'ér,thus; thereby; as a result,5
从前,cóngqián,previously; formerly; in the past,5
从事,cóngshì,go for; engage in; deal with,5
粗糙,cūcāo,coarse,5
促进,cùjìn,promote (an idea or cause); to advance,5
促使,cùshǐ,to urge; impel; to cause; to push,5
醋,cù,vinegar,5
催,cuī,to press; to urge; to hurry,5
存在,cúnzài,to exist; to be,5
措施,cuòshī,measure; step (to be taken),5
答应,dāying,to respond; to promise; to answer; agree,5
达到,dá dào,achieve; attain; to reach,5
打工,dǎgōng,work a part time job; (regional) do manual labor; do odd jobs,5
打交道,dǎ jiāodao,come into contact with; to deal with,5
打喷嚏,dǎpēntì,to sneeze,5
打听,dǎting,ask about; inquire about,5
大方,dàfang,generous; poise; (-fang1: expert; scholar),5
大厦,dàshà,large building; edifice; mansion,5
大象,dàxiàng,elephant,5
大型,dàxíng,large-scale; wide-scale,5
呆,dāi,stupid; foolish; blank; dumbstruck; to stay,5
代表,dàibiǎo,represent; to delegate,5
代替,dàitì,to replace,5
贷款,dài kuǎn,(bank) loan; provide a loan,5
待遇,dàiyù,treatment; pay; wage; salary,5
担任,dānrèn,hold the post of; serve as,5
单纯,dānchún,simple; pure; merely,5
单调,dāndiào,monotonous; dull,5
单独,dāndú,alone,5
单位,dānwèi,unit; work unit,5
单元,dānyuán,unit; entrance number; staircase (for residential buildings),5
耽误,dānwu,to delay; waste time,5
胆小鬼,dǎnxiǎoguǐ,coward,5
淡,dàn,diluted; weak; thin,5
当地,dāngdì,local,5
当心,dāngxīn,take care; watch out,5
挡,dǎng,to block; hinder; gear; equipment,5
导演,dǎoyǎn,to direct; director,5
导致,dǎozhì,lead to; bring about; to cause,5
岛屿,dǎoyǔ,islands,5
倒霉,dǎoméi,have bad luck; be out of luck,5
到达,dàodá,to reach; arrive,5
道德,dàodé,morals; morality; ethics,5
道理,dàolǐ,reason; sense; argument,5
登记,dēngjì,register (one's name); check in; enroll,5
等待,děngdài,to wait (for); expect,5
等于,děngyú,(Mathematics) equal to,5
滴,dī,to drip; drop; (mw for drops of liquid),5
的确,díquè,really; indeed,5
敌人,dírén,enemy,5
地道,dìdao,authentic; genuine; (-dào: tunnel),5
地理,dìlǐ,geography,5
地区,dìqū,an area; a region; a district,5
地毯,dìtǎn,carpet; rug,5
地位,dìwèi,position; status,5
地震,dìzhèn,earthquake,5
递,dì,hand over; to pass; to give,5
点心,diǎnxin,dim sum; light refreshments; snacks,5
电池,diànchí,battery,5
电台,diàntái,transceiver; broadcasting station,5
钓,diào,to fish,5
顶,dǐng,"top; roof; carry on one's head; prop up; to butt; (mw for headwear, i.e. hats)",5
动画片,dònghuàpiàn,animated film,5
冻,dòng,to freeze,5
洞,dòng,cave; hole,5
豆腐,dòufu,tofu; bean curd,5
逗,dòu,to tease; amuse; to stay; to stop; funny,5
独立,dúlì,independent,5
独特,dútè,unique; distinctive,5
度过,dùguò,spend; to pass,5
断,duàn,to break; decide; absolutely (usually negative),5
堆,duī,pile; heap; stack; crowd,5
对比,duìbǐ,compare; to contrast; comparison,5
对待,duìdài,to treat,5
对方,duìfāng,counterpart; the other party involved,5
对手,duìshǒu,opponent; adversary; match,5
对象,duìxiàng,target; object; partner; boyfriend or girlfriend,5
兑换,duìhuàn,to exchange; to convert (currencies),5
吨,dūn,ton,5
蹲,dūn,to crouch; to squat,5
顿,dùn,pause; arrange; stamp feet; suddenly; (mw for meals),5
多亏,duōkuī,thanks to; luckily,5
多余,duōyú,unnecessary; superfluous,5
朵,duǒ,(mw for flowers and clouds),5
躲藏,duǒcáng,hide oneself; take cover,5
恶劣,èliè,vile; horrible,5
耳环,ěrhuán,earring,5
发表,fābiǎo,publish; to issue (a statement); announce,5
发愁,fā chóu,worry about sth.,5
发达,fādá,"developed (country, etc.); flourishing; prosper",5
发抖,fādǒu,to shiver; to shudder; tremble,5
发挥,fāhuī,"to bring (skill, talent, etc.) into play; to develop (an idea)",5
发明,fāmíng,invent,5
发票,fāpiào,receipt or bill for purchase; invoice,5
发言,fāyán,make a speech; statement,5
罚款,fákuǎn,fine; penalty (monetary),5
法院,fǎyuàn,court of law,5
翻,fān,to turn over; capsize; translate,5
繁荣,fánróng,prosperous; prosperity; booming (economy),5
反而,fǎn'ér,on the contrary; instead,5
反复,fǎnfù,repeatedly; over and over,5
反应,fǎnyìng,react; respond; reply,5
反映,fǎnyìng,reflect; reflection; report on,5
反正,fǎnzhèng,anyway,5
范围,fànwéi,scope; range; limits; extent,5
方,fāng,square; direction; side (Kangxi radical 70),5
方案,fāng'àn,"plan; program (for action, etc.); proposal",5
方式,fāngshì,way; style; fashion; manner,5
妨碍,fáng'ài,hinder; to hamper; to obstruct,5
仿佛,fǎngfú,to seem as though; as if,5
非,fēi,non-; un-; not be; wrongdoing; simply must (Kangxi radical 175),5
肥皂,féizào,soap,5
废话,fèihuà,nonsense; rubbish,5
分别,fēnbié,distinguish; split up; difference; to part,5
分布,fēnbù,be distributed (over an area); be scattered,5
分配,fēnpèi,distribute; assign; allocate,5
分手,fēnshǒu,part company; break up,5
分析,fēnxī,analyze; analysis,5
纷纷,fēnfēn,one after another; in succession; in profusion; diverse; pell-mell,5
奋斗,fèndòu,strive; to struggle,5
风格,fēnggé,style,5
风景,fēngjǐng,scenery; landscape,5
风俗,fēngsú,social custom,5
风险,fēngxiǎn,risk; venture; hazard,5
疯狂,fēngkuáng,crazy; madness; wild; extreme popularity; insane; frenzied; unbridled,5
讽刺,fěngcì,satirize; ridicule; mock; irony,5
否定,fǒudìng,negate; negative,5
否认,fǒurèn,deny; declare to be untrue,5
扶,fú,to support with hand; to help somebody up,5
服装,fúzhuāng,(formal) clothing; costume; dress,5
幅,fú,"width of cloth; size; (mw for pictures, paintings, textiles)",5
辅导,fǔdǎo,to coach; to tutor; give advice (in study),5
妇女,fùnǚ,woman; women in general,5
复制,fùzhì,duplicate; reproduce,5
改革,gǎigé,to reform,5
改进,gǎijìn,improve; make better,5
改善,gǎishàn,improve; make better,5
改正,gǎizhèng,to correct; amend,5
盖,gài,lid; top; cover; to build,5
概括,gàikuò,summarize; generalize,5
概念,gàiniàn,concept; idea,5
干脆,gāncuì,straightforward; clear-cut; blunt,5
干燥,gānzào,"to dry (of paint, cement, etc.); dry; dryness",5
赶紧,gǎnjǐn,at once; hurriedly; lose no time,5
赶快,gǎnkuài,at once; immediately,5
感激,gǎnjī,appreciate; feel grateful,5
感受,gǎnshòu,feel; experience; emotion; impression,5
感想,gǎnxiǎng,impressions; reflections; thoughts,5
干活儿,gàn huór,do manual labor; to work,5
钢铁,gāngtiě,steel,5
高档,gāodàng,top quality; first rate; high class,5
高级,gāojí,high-level; high-grade; advanced,5
搞,gǎo,do; make; be engaged in,5
告别,gàobié,say goodbye to; to leave; to part,5
格外,géwài,especially; additionally,5
隔壁,gébì,next door,5
个别,gèbié,individual; specific; isolated; very few,5
个人,gèrén,individual; personal; oneself,5
个性,gèxìng,individuality; personality,5
各自,gèzì,each; respective; apiece,5
根,gēn,"root; base; (mw for long, slender objects)",5
根本,gēnběn,root; essence; fundamental; basic; (not) at all; simply,5
工厂,gōngchǎng,factory,5
工程师,gōngchéngshī,engineer,5
工具,gōngjù,tool; instrument; utensil,5
工人,gōngrén,worker,5
工业,gōngyè,industry,5
公布,gōngbù,make public; announce; publicize,5
公开,gōngkāi,public; make public,5
公平,gōngpíng,fair; impartial; just,5
公寓,gōngyù,apartment building,5
公元,gōngyuán,(year) AD or CE; Christian era; common era,5
公主,gōngzhǔ,princess,5
功能,gōngnéng,function; feature,5
恭喜,gōngxǐ,congratulate,5
贡献,gòngxiàn,contribute; dedicate; contribution,5
沟通,gōutōng,link; connect; communicate,5
构成,gòuchéng,to constitute; to compose,5
姑姑,gūgu,paternal aunt; father's sister,5
姑娘,gūniang,young woman; girl,5
古代,gǔdài,ancient times,5
古典,gǔdiǎn,classical,5
股票,gǔpiào,shares; stock (market),5
骨头,gǔtou,bone; moral character,5
鼓舞,gǔwǔ,inspire; heartening,5
鼓掌,gǔ zhǎng,applaud,5
固定,gùdìng,fixed; regular; stable,5
挂号,guà hào,register; check into hospital; send by registered mail,5
乖,guāi,(of a child) obedient; well-behaved; clever; perverse; contrary to reason,5
拐弯,guǎi wān,turn a corner; make a turn,5
怪不得,guài bu de,no wonder; so that's why,5
关闭,guānbì,close; shut,5
观察,guānchá,observe; to watch; to survey,5
观点,guāndiǎn,point of view; standpoint,5
观念,guānniàn,notion; thought; concept,5
官,guān,an official; organ; governmental,5
管子,guǎnzi,tube; pipe; drinking straw,5
冠军,guànjūn,champion,5
光滑,guānghuá,glossy; sleek; smooth,5
光临,guānglín,(polite) welcome!; honor somebody with one's presence,5
光明,guāngmíng,bright (future); promising; illuminate,5
光盘,guāngpán,CD (compact disc),5
广场,guǎngchǎng,public square; plaza,5
广大,guǎngdà,vast; extensive,5
广泛,guǎngfàn,extensive; wide ranging,5
归纳,guīnà,conclude from the facts; induce; sum up from the facts,5
规矩,guīju,rule; custom,5
规律,guīlǜ,law (e.g. of science); regular pattern; discipline,5
规模,guīmó,scale; scope; extent,5
规则,guīzé,rule; law; regulation,5
柜台,guìtái,counter; bar; front desk,5
滚,gǔn,to roll; get lost; to boil,5
锅,guō,pot; pan; boiler,5
国庆节,Guóqìng Jié,National Day,5
国王,guówáng,king,5
果然,guǒrán,really; sure enough; as expected,5
果实,guǒshí,fruit; gains; results,5
过分,guòfèn,excessive; overly,5
过敏,guòmǐn,be allergic; allergy,5
过期,guòqī,overdue; expire,5
哈,hā,exhale; sip; (sound of laughter),5
海关,hǎiguān,customs (i.e. border inspection),5
海鲜,hǎixiān,seafood,5
喊,hǎn,call; cry; shout,5
行业,hángyè,industry; business,5
豪华,háohuá,luxurious,5
好客,hàokè,hospitable; to enjoy having guests,5
好奇,hàoqí,curious,5
合法,héfǎ,lawful; legitimate; legal,5
合理,hélǐ,rational; reasonable,5
合同,hétong,contract,5
合影,héyǐng,joint photo; group photo,5
合作,hézuò,cooperate; collaborate; work together,5
何必,hébì,why should; there is no need to,5
何况,hékuàng,let alone; much less,5
和平,hépíng,peace,5
核心,héxīn,core; nucleus,5
恨,hèn,to hate,5
猴子,hóuzi,monkey,5
后背,hòubèi,back (of the body),5
后果,hòuguǒ,consequences; aftermath,5
呼吸,hūxī,breathe,5
忽然,hūrán,suddenly; all of a sudden,5
忽视,hūshì,neglect; ignore; to overlook,5
胡说,húshuō,talk nonsense; drivel,5
胡同,hútòng,lane; alley,5
壶,hú,pot; kettle; jug; (mw for bottled liquids),5
蝴蝶,húdié,butterfly,5
糊涂,hútu,confused; bewildered; muddled,5
花生,huāshēng,peanut,5
划,"huà, huá",delimit; to transfer; assign | to row; to paddle; to scratch,5
华裔,Huáyì,person of Chinese descent,5
滑,huá,slippery; cunning; crafty,5
化学,huàxué,chemistry,5
话题,huàtí,subject (of a talk or conversation),5
怀念,huáiniàn,cherish the memory of; think fondly of,5
怀孕,huáiyùn,become pregnant; have conceived,5
缓解,huǎnjiě,to alleviate,5
幻想,huànxiǎng,delusion; fantasy; illusion,5
慌张,huāngzhāng,flustered; flurried,5
黄金,huángjīn,gold,5
灰,huī,ash; gray (grey); dust; lime,5
灰尘,huīchén,dust; dirt,5
灰心,huī xīn,lose heart; be discouraged,5
挥,huī,to wave; brandish; wield; wipe away,5
恢复,huīfù,reinstate; resume; recover,5
汇率,huìlǜ,exchange rate,5
婚礼,hūnlǐ,wedding ceremony,5
婚姻,hūnyīn,marriage; matrimony; wedding,5
活跃,huóyuè,active; vigorous,5
火柴,huǒchái,match (for lighting fire),5
伙伴,huǒbàn,partner (for an activity); friend; pal,5
或许,huòxǔ,perhaps; maybe,5
机器,jīqì,machine,5
肌肉,jīròu,muscle; flesh,5
基本,jīběn,basic; fundamental,5
激烈,jīliè,intense; acute; sharp; fierce,5
及格,jí gé,pass an exam,5
极其,jíqí,extremely; exceedingly,5
急忙,jímáng,hastily,5
急诊,jízhěn,emergency call; emergency treatment,5
集合,jíhé,gather; assemble; to muster,5
集体,jítǐ,collective; group,5
集中,jízhōng,concentrate; to focus; amass,5
计算,jìsuàn,to count; calculate; compute,5
记录,jìlù,to record; take notes,5
记忆,jìyì,memory; to remember,5
纪录,jìlù,a record; to take notes,5
纪律,jìlǜ,discipline; morale; laws and regulations,5
纪念,jìniàn,commemorate; remember,5
系领带,jìlǐngdài,tie a neck tie,5
寂寞,jìmò,lonely; lonesome,5
夹子,jiāzi,clip; tongs; folder,5
家庭,jiātíng,family; household,5
家务,jiāwù,household duties; chores; housework,5
家乡,jiāxiāng,hometown,5
嘉宾,jiābīn,honored guest,5
甲,jiǎ,one; armor (1st Heavenly Stem),5
假如,jiǎrú,if; supposing; in case,5
假设,jiǎshè,suppose that; hypothesis; conjecture,5
假装,jiǎzhuāng,pretend to be; feign,5
价值,jiàzhí,value; worth,5
驾驶,jiàshǐ,"to drive; to pilot (a ship, an airplane, etc.)",5
嫁,jià,marry (a husband); take a husband,5
坚决,jiānjué,resolute; determined; uncompromising,5
坚强,jiānqiáng,strong; staunch,5
肩膀,jiānbǎng,shoulder,5
艰巨,jiānjù,very difficult; arduous; hard,5
艰苦,jiānkǔ,difficult; hard; arduous,5
兼职,jiānzhí,part time,5
捡,jiǎn,to pick up; collect; gather,5
剪刀,jiǎndāo,scissors,5
简历,jiǎnlì,resume; curriculum vitae,5
简直,jiǎnzhí,simply; at all,5
建立,jiànlì,establish; to construct; to set up,5
建设,jiànshè,to build; to construct; construction,5
建筑,jiànzhù,a building; to construct; architecture,5
健身,jiànshēn,work out; body-building,5
键盘,jiànpán,keyboard,5
讲究,jiǎngjiu,Be particular about; fastidious; stress; exquisite ; careful study,5
讲座,jiǎngzuò,a lecture or course of lectures; lecture hall,5
酱油,jiàngyóu,soy sauce,5
交换,jiāohuàn,to exchange; to swap; to switch,5
交际,jiāojì,socialize; social intercourse; communication,5
交往,jiāowǎng,to associate; to contact,5
浇,jiāo,to water; irrigate; to pour; to sprinkle,5
胶水,jiāoshuǐ,(watery) glue; gum,5
角度,jiǎodù,angle; point of view,5
狡猾,jiǎohuá,crafty; cunning; sly,5
教材,jiàocái,teaching materials,5
教练,jiàoliàn,(athlete's) coach; sports coach; instructor,5
教训,jiàoxun,lesson; teach someone or learn a lesson; a moral,5
阶段,jiēduàn,stage; phase,5
结实,jiēshi,sturdy; (also -shí: bear fruit),5
接触,jiēchù,come into contact with,5
接待,jiēdài,receive (a visitor); admit (entry to),5
接近,jiējìn,near; be close to,5
节省,jiéshěng,save; use sparingly; frugal,5
结构,jiégòu,structure; composition,5
结合,jiéhé,combine; to link; to bind,5
结论,jiélùn,conclusion; verdict,5
结账,jiézhàng,pay the bill; settle accounts,5
戒,jiè,warn against; swear off,5
戒指,jièzhi,(finger) ring,5
届,jiè,arrive at; period; session; (mw for events; meetings; etc.),5
借口,jièkǒu,excuse,5
金属,jīnshǔ,metal,5
尽快,jǐnkuài,as quickly as possible,5
尽量,jǐnliàng,as much as possible; to the best of one's ability (jìn-: eat or drink to one's fill),5
紧急,jǐnjí,urgent; pressing,5
谨慎,jǐnshèn,cautious; prudent,5
尽力,jìn lì,do one's best; to strive as much as possible,5
进步,jìnbù,make progress; to advance,5
进口,jìn kǒu,import; entrance; enter,5
近代,jìndài,modern times; latest generation,5
经典,jīngdiǎn,classics; scriptures,5
经商,jīng shāng,trade; be in business; do commerce,5
经营,jīngyíng,"engage in (a business activity, etc.); run/operate (a business)",5
精力,jīnglì,energy; vigor,5
精神,jīngshen,vigor; spirit; mind,5
酒吧,jiǔbā,bar,5
救,jiù,to save (life); to assist; to rescue,5
救护车,jiùhùchē,ambulance,5
舅舅,jiùjiu,mother's brother; maternal uncle,5
居然,jūrán,unexpectedly; to one's surprise; go so far as to,5
桔子,júzi,tangerine,5
巨大,jùdà,immense; enormous; very large,5
具备,jùbèi,possess; be equipped with,5
具体,jùtǐ,concrete; definite; specific,5
俱乐部,jùlèbù,club (group or organization),5
据说,jùshuō,it is said that; reportedly,5
捐,juān,to contribute; to donate; to subsribe to; to abandon; to relinquish; contribution; tax,5
决赛,juésài,finals (of a competition); final match,5
决心,juéxīn,determination; resolution,5
角色,juésè,role; part,5
绝对,juéduì,absolute; definite,5
军事,jūnshì,military affairs; military matters,5
均匀,jūnyún,even; well-distributed,5
卡车,kǎchē,truck,5
开发,kāifā,develop; to exploit (a resource),5
开放,kāifàng,"(of flowers) to bloom; open up; to be open-minded; lift a ban, restriction, etc.; release; liberalization; China's 1979 open policy",5
开幕式,kāimùshì,opening ceremony,5
开水,kāishuǐ,boiled water; boil water,5
砍,kǎn,to chop; cut down,5
看不起,kàn bu qǐ,look down upon; despise,5
看望,kànwàng,visit; call on; see,5
靠,kào,depend on; lean on; near; to trust,5
颗,kē,"(mw for hearts and small, round things like seeds, grains, beans, etc.)",5
可见,kějiàn,it can clearly be seen that; clear,5
可靠,kěkào,reliable,5
可怕,kěpà,terrible; awful; frightful; scary,5
克,kè,gram; overcome; restrain,5
克服,kèfú,"overcome (hardships, etc.); conquer",5
刻苦,kèkǔ,hardworking; assiduous,5
客观,kèguān,objective; impartial; unbiased,5
课程,kèchéng,course; curriculum; class,5
空间,kōngjiān,space,5
空闲,kòngxián,leisure; free time; idle; unused,5
控制,kòngzhì,to control,5
口味,kǒuwèi,a person's tastes or preferences,5
夸,kuā,to boast; to praise; exaggerate,5
夸张,kuāzhāng,exaggerate; overstate; exaggerated; overstated; vaunted; hyperbole,5
会计,kuàijì,accountant; accounting,5
宽,kuān,wide; broad; relaxed; lenient,5
昆虫,kūnchóng,insect,5
扩大,kuòdà,enlarge; expand,5
辣椒,làjiāo,hot pepper; chili,5
拦,lán,to block; to cut off; hinder,5
烂,làn,overcooked; rotten; soft; mushy,5
朗读,lǎngdú,read aloud,5
劳动,láodòng,work; toil; (physical) labor,5
劳驾,láo jià,excuse me,5
老百姓,lǎobǎixìng,ordinary people; the person on the street; civilians,5
老板,lǎobǎn,boss; proprietor; shopkeeper,5
老婆,lǎopó,(informal) wife,5
老实,lǎoshi,honest; sincere; naive; simpleminded,5
老鼠,lǎoshǔ,rat; mouse,5
姥姥,lǎolao,maternal grandmother,5
乐观,lèguān,optimism; hopeful,5
雷,léi,thunder,5
类型,lèixíng,type,5
冷淡,lěngdàn,cold; chill; indifferent; unconcerned,5
厘米,límǐ,centimeter,5
离婚,lí hūn,to divorce; divorced from (one's spouse),5
梨,lí,pear,5
理论,lǐlùn,theory,5
理由,lǐyóu,a reason; grounds; argument,5
力量,lìliang,power; force; strength,5
立即,lìjí,immediately,5
立刻,lìkè,immediately; at once; right away,5
利润,lìrùn,profit,5
利息,lìxī,interest (on a loan),5
利益,lìyì,benefit; (in sb.'s) interest,5
利用,lìyòng,to use; to make use of; to exploit,5
连忙,liánmáng,promptly; at once,5
连续,liánxù,continually; in a row; successively,5
联合,liánhé,alliance; combine; unite,5
恋爱,liàn'ài,romantic love; be in love; love affair,5
良好,liánghǎo,good; favorable; well,5
粮食,liángshi,grain; food; cereals,5
亮,liàng,bright; light; shiny,5
了不起,liǎobuqǐ,incredible; extraordinary; great; amazing,5
列车,lièchē,train (railway term),5
临时,línshí,temporary; at the time; when the time comes,5
灵活,línghuó,flexible; nimble; agile,5
铃,líng,bell,5
零件,língjiàn,spare parts; component,5
零食,língshí,snack,5
领导,lǐngdǎo,to lead; leader; leadership,5
领域,lǐngyù,domain; sphere; field; area,5
浏览,liúlǎn,browse; glance over; skim through,5
流传,liúchuán,to spread; circulate; hand down,5
流泪,liúlèi,shed tears,5
龙,lóng,dragon (Kangxi radical 212),5
漏,lòu,to leak; to funnel; to let out,5
陆地,lùdì,land; dry land (as opposed to the sea),5
陆续,lùxù,in turn; successively; one after another,5
录取,lùqǔ,recruit; enroll; matriculate,5
录音,lùyīn,sound recording; to record,5
轮流,lúnliú,to alternate; take turns; rotate,5
论文,lùnwén,thesis; paper; treatise,5
逻辑,luóji,logic,5
落后,luòhòu,backward; to lag (in technology); to fall behind,5
骂,mà,scold; curse; condemn; verbally abuse,5
麦克风,màikèfēng,microphone,5
馒头,mántou,steamed bun/roll,5
满足,mǎnzú,satisfy; meet (the needs of),5
毛病,máobìng,fault; bad habit; shortcoming,5
矛盾,máodùn,contradiction; conflict,5
冒险,màoxiǎn,take a risk; take chances,5
贸易,màoyì,(commercial) trade,5
眉毛,méimao,eyebrow,5
媒体,méitǐ,(news) media; medium,5
煤炭,méitàn,coal,5
美术,měishù,the fine arts; art,5
魅力,mèilì,charm; glamour; enchantment,5
梦想,mèngxiǎng,dream of; wishful thinking,5
秘密,mìmì,a secret; confidential,5
秘书,mìshu,secretary,5
密切,mìqiè,close; familiar; intimate,5
蜜蜂,mìfēng,bee; honeybee,5
面对,miànduì,to face; confront,5
面积,miànjī,(surface) area,5
面临,miànlín,be faced with; be up against,5
苗条,miáotiao,slim; slender,5
描写,miáoxiě,to describe; to depict; to portray,5
敏感,mǐngǎn,sensitive; susceptible,5
名牌,míngpái,famous brand; name brand,5
名片,míngpiàn,business card,5
名胜古迹,míngshènggǔjì,famous scenic spots and ancient historic sites,5
明确,míngquè,clear-cut; clearly; clarify,5
明显,míngxiǎn,clear; obvious,5
明星,míngxīng,"(movie, etc.) star; celebrity",5
命令,mìnglìng,an order; a command,5
命运,mìngyùn,fate; destiny,5
摸,mō,to touch; to stroke; fish out; feel out,5
模仿,mófǎng,imitate; to copy,5
模糊,móhu,vague; indistinct; fuzzy; foggy,5
模特,mótè,(fashion) model,5
摩托车,mótuōchē,motorcycle; motorbike,5
陌生,mòshēng,strange; unfamiliar,5
某,mǒu,a certain; some,5
木头,mùtou,wood; log; timber,5
目标,mùbiāo,target; goal; objective,5
目录,mùlù,catalog; table of contents; directory (on computer hard drive),5
目前,mùqián,at present; now; for the moment,5
哪怕,nǎpà,even (if/though); no matter how,5
难怪,nánguài,no wonder,5
难免,nánmiǎn,hard to avoid; difficult to escape from,5
脑袋,nǎodai,head; mental capability; brains,5
内部,nèibù,"internal; interior; inside (part, section)",5
内科,nèikē,internal medicine,5
嫩,nèn,tender; inexperienced,5
能干,nénggàn,capable; competent,5
能源,néngyuán,energy resources; power source,5
嗯,ēn,"(interjection expressing what?, huh? hmm? why? ok, etc.)",5
年代,niándài,decade; era,5
年纪,niánjì,age,5
念,niàn,read aloud; to study; to miss or think of somebody,5
宁可,nìngkě,would rather; it is the lesser of two evils to,5
牛仔裤,niúzǎikù,jeans; cowboy pants,5
农村,nóngcūn,rural area; countryside,5
农民,nóngmín,peasant,5
农业,nóngyè,agriculture; farming,5
浓,nóng,concentrated; dense,5
女士,nǚshì,lady; madam,5
欧洲,Ōuzhōu,Europe,5
偶然,ǒurán,accidentally; occasional; fortuitous,5
拍,pāi,"to clap; to pat; to shoot (pictures, a film); send (a telegram)",5
派,pài,dispatch; (mw for political groups; schools of thought; etc.),5
盼望,pànwàng,to hope for; look forward to,5
培训,péixùn,cultivate; train,5
培养,péiyǎng,to train; cultivate; bring up,5
赔偿,péicháng,compensate; pay for somebody else's loss,5
佩服,pèifu,admire; to respect,5
配合,pèihé,be harmoniously combined or arranged; matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concern with; to cooperate; to become man and wife; to combine parts of a machine,5
盆,pén,basin; (flower) pot,5
碰,pèng,to touch; to bump; to encounter,5
批,pī,"criticize; to comment; wholesale; (mw for batches, lots, etc.)",5
批准,pīzhǔn,approve; ratify,5
披,pī,drape over one's shoulders; split open; open,5
疲劳,píláo,fatigue; wearily; weariness; tired,5
匹,pǐ,"ordinary person; (mw for horses, bolt of cloth)",5
片,"piàn, piān",(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,5
片面,piànmiàn,one-sided; unilateral,5
飘,piāo,to float; flutter,5
拼音,pīnyīn,pinyin; phonetic writing,5
频道,píndào,frequency; (television) channel,5
平,píng,flat; level; equal; ordinary,5
平安,píng'ān,safe and sound,5
平常,píngcháng,ordinary; usually; common,5
平等,píngděng,equal; equality,5
平方,píngfāng,"square (as in square foot, square mile, etc.)",5
平衡,pínghéng,balance; balanced; equilibrium,5
平静,píngjìng,calm; peaceful; tranquil; serene,5
平均,píngjūn,average; to share equally,5
评价,píngjià,to evaluate,5
凭,píng,lean against; evidence; proof; no matter (what/how/etc.),5
迫切,pòqiè,urgent; pressing,5
破产,pò chǎn,go bankrupt; go broke; bankruptcy,5
破坏,pòhuài,destroy; destruction; to wreck; to break,5
期待,qīdài,look forward to; await; expectation,5
期间,qījiān,period of time; time,5
其余,qíyú,the others; the rest; remaining,5
奇迹,qíjì,miracle; miraculous; marvel,5
企业,qǐyè,company; business; firm,5
启发,qǐfā,enlighten; inspire,5
气氛,qìfēn,atmosphere; mood; ambience,5
汽油,qìyóu,gasoline; gas; petrol,5
谦虚,qiānxū,modest,5
签,qiān,bamboo used for drawing lots; toothpick; to sign (one's name),5
前途,qiántú,future; prospects; outlook (for the future),5
浅,qiǎn,shallow; simple; superficial; light (of colors),5
欠,qiàn,yawn; to lack; owe (Kangxi radical 76),5
枪,qiāng,gun; spear,5
强调,qiángdiào,emphasize; to stress,5
强烈,qiángliè,intense; strong; violent,5
墙,qiáng,wall,5
抢,"qiǎng, qiāng",fight over; vie for; grab; rush | bump against,5
悄悄,qiāoqiāo,quietly,5
瞧,qiáo,look at; see (colloquial),5
巧妙,qiǎomiào,ingenious; clever,5
切,"qiē, qiè",to cut; to chop | correspond to; absolutely; ardently,5
亲爱,qīn'ài,"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",5
亲切,qīnqiè,kind; amiable; cordial,5
亲自,qīnzì,personally,5
勤奋,qínfèn,hardworking; diligent; industrious,5
青,qīng,blue; green; young (Kangxi radical 174); Qinghai province (abbr.),5
青春,qīngchūn,youth; youthfulness; fresh spring,5
青少年,qīngshàonián,teenager,5
轻视,qīngshì,contempt; to scorn; scornful,5
轻易,qīngyì,easily; lightly; rashly,5
清淡,qīngdàn,"light (of food, not greasy or strongly flavored) ; insipid;  slack (sales)",5
情景,qíngjǐng,scene; sight; circumstances,5
情绪,qíngxù,emotion; sentiment; mood; morale,5
请求,qǐngqiú,to request; ask,5
庆祝,qìngzhù,celebrate,5
球迷,qiúmí,"fan (of ball games: basketball, football, etc.)",5
趋势,qūshì,trend; tendency,5
取消,qǔxiāo,cancel; cancellation; abolish,5
娶,qǔ,marry (a wife); take a wife,5
去世,qùshì,pass away; die,5
圈,quān,"circle; ring; (mw for loops, orbits, etc.)",5
权力,quánlì,power; authority,5
权利,quánlì,right; privilege,5
全面,quánmiàn,all-around; comprehensive; fully,5
劝,quàn,advise; to urge; persuade,5
缺乏,quēfá,shortage; to lack; be short of,5
确定,quèdìng,definite; certain; fixed; determine,5
确认,quèrèn,confirm; confirmation; verify,5
